"term","med","med_sd","min","max","justice","just_pr","CEHughes2","JCMcReynolds","LDBrandeis","GSutherland","PButler","HFStone","OJRoberts","BNCardozo","HLBlack","SFReed","FFrankfurter","WODouglas","FMurphy","JFByrnes","RHJackson","WBRutledge","HHBurton","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan"
"1937a",-0.334,0.333,-2.919,3.435,"CEHughes2",0.648,0.6483,0,0.1858,0,0,0.057,0.0971,0.0118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937b",-0.568,0.333,-2.919,3.433,"LDBrandeis",0.435,0.2113,0,0.4354,,0,0.237,0.0111,0.0279,0,0.0773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938a",-0.535,0.364,-3.215,3.57,"LDBrandeis",0.499,0.1033,0,0.4993,,0,0.3717,0.0002,,0,0.0178,0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938b",-0.696,0.345,-3.3,3.57,"HFStone",0.891,0.0171,0,,,0,0.8913,0,,0,0.0661,0.0255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",-1.018,0.355,-3.409,3.532,"SFReed",0.646,0,0,,,,0.0647,0,,0,0.6461,0.2328,0.0001,0.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",-0.635,0.348,-3.462,3.356,"FFrankfurter",0.492,0,0,,,,0.0345,0,,0,0.4732,0.4918,0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",-0.147,0.339,-3.383,1.87,"JFByrnes",0.466,,,,,,0.0029,0,,0,0.3283,0.1419,0,0,0.4661,0.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",0.078,0.337,-3.142,2.137,"SFReed",0.651,,,,,,0.052,0,,0,0.6506,0.059,0,0,,0.2384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",0.035,0.33,-2.82,2.456,"RHJackson",0.424,,,,,,0.1714,0,,0,0.4031,0.0015,0,0,,0.424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",-0.095,0.331,-2.608,2.797,"SFReed",0.903,,,,,,0.0001,0,,0,0.903,0.0015,0,0,,0.0954,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",0.059,0.316,-2.223,0.892,"SFReed",0.888,,,,,,0.0093,,,0,0.8885,0.0125,0,0,,0.0372,0,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",0.239,0.257,-2.051,1.162,"SFReed",0.643,,,,,,,,,0,0.6428,0.0001,0,0,,0.0001,0,0.0861,0.2709,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",0.447,0.228,-1.986,1.236,"SFReed",0.483,,,,,,,,,0,0.4829,0.0156,0,0,,0.0005,0,0.0356,0.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",0.556,0.254,-1.993,1.304,"FFrankfurter",0.571,,,,,,,,,0,0.3335,0.5714,0,0,,0.0011,0,0.029,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",0.913,0.282,-1.743,1.472,"HHBurton",0.278,,,,,,,,,0,0.1547,0.0126,0,,,0.1759,,0.2784,0.1337,0.1731,0.0716,,,,,,,,,,,,,,,,,,,,,,,,,
